tract2010,Add A Bin,Add A Can,Add A Can CANCELLATION,Add A Cart,Add A Cart CANCELLATION,Air Pollution,Amenity New,Amenity Repair,Ashby Highrise Concern,Automated Recycling for Business NEW,Bandit Sign,Boarding Homes,Bridge and Barricade,Building Break In,Building or Sign Code,City Engineer,Clean Pavilion or Restroom,Complaint Form Request,Container Placement,Container Problem,Court Surface Repair,Crisis Cleanup,Dangerous Commercial Building,Dead Animal Collection,Disaster Preparedness Guide Request,Disaster Recovery Escalation,Drainage,Drainage System Violation,Drinking Water Public Notice,Dugout Repair,Dumpster Complaint,Dumpster Permit,Electrical Hazard,Environmental Health Escalation,Eviction Notice,Fence Repair,Fire Code Complaint,Fire Hydrant,Flashing School Beacon,Flooding,Fountain Repair,Fountain Repair Urgent,Fuel Island,Graffiti - ATT Telephone Equipment,Graffiti - CenterPoint Electrical Equipm,Graffiti - City Bridge,Graffiti - City Park,Graffiti - City Property,Graffiti - City Street/Curb,Graffiti - City Water Fixture,Graffiti - Harris County Flood Control P,Graffiti - Harris County Toll Road,Graffiti - METRO Bus/Rail,Graffiti - Railroad Fixture,Graffiti - School District Property,Graffiti - TXDoT Highway,Graffiti - Traffic Signal/Sign,Graffiti Private or Commercial Property,Health Code,Heavy Trash Violation,Hole in Unpaved Ground,House Move Route,Icing Bridge,Icing Roadway,Identify Numbered Address,Junk Motor Vehicle,Language Interpretation,Liaison Note,Lighting,Litter Esplanade Median,Litter Park,Major Water Leak,MayorSidewalk,Medical Evacuation,Minimum Standards,Minor Water Leak,Miss Complaint,Missed Garbage Pickup,Missed Heavy Trash Pickup,Missed Recycling Pickup,Missed Yard Waste Pickup,Mow Esplanade or Median,Mow Park,Multi-Resident Facility,MultiFamily Habitability Violation,Neighborhood Clean up,Neighborhoods Escalation,New CIP Request,New Move In Service,New Resident Container,New Resident in Private Development,Non Residential Collection CANCEL,Non Residential Collection Service NEW,Nuisance On Property,Nuisance on Commercial Property,Order Bag Tags,PWE CIP Project,PWE Escalation,Paint Stripes,Park Facilities Escalation,Park Forestry Escalation,Park Greenspace Escalation,Parking Escalation,Parking Lot Pothole,Parking Meter,Parking Violation,Pest Control,Playground or Court Equipment,Pool Fence,Pool Water Quality Control,Poor Drainage,Portacan Problem,Post Replace or Install,Pothole,Property Damage,Recycle Bin/Cart Retrieve,Recycle Program Start Up,Recycling Cart Repair or Replace,Recycling Participation NEW,Restoration Due To Utility Work,SPARK Park,SWM Escalation,Severe Storm Tree Removal,Sewer Manhole,Sewer Wastewater,Sidewalk Repair,Soccer Goal,Speed Cushion Repair,Spilled Debris,Sprinkler Repair,Storm Damage,Storm Debris Collection,Street Condition,Street Hazard,Subpoena,TPIA,Traffic Applications,Traffic Bridge/Freeway Lighting,Traffic General,Traffic Markings,Traffic School Zones,Traffic Signal Maintenance,Traffic Signals,Traffic Signs,Trail Repair,Trash Can New,Trash Dumping or Illegal Dumpsite,Tree Code Violation,Tree Planting,Tree Removal,Tree Stump Grinding,Tree Trim,Unclassified 311 Web Request,Unregulated Boarding House,Unregulated Residential Facility,Vehicle for Hire Complaint,Vital Statistics Escalation,Water Leak,Water Main Valve,Water Playground Repair,Water Quality,Water Service,Water or Ground Pollution
48157672301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48157672400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,2,1
48157672701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48157672900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48157673002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48157673003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48201100000,0,0,0,0,0,24,1,11,0,0,16,1,14,0,61,34,2,0,0,4,0,2,18,78,2,0,129,5,1,0,11,0,2,1,0,0,14,127,7,21,7,1,1,0,4,1,5,1,0,0,0,0,0,0,0,1,3,21,33,12,0,0,1,10,1,2,0,0,12,4,13,1,2,0,2,0,1,9,2,4,0,0,1,2,12,0,0,3,0,1,0,0,3,53,16,1,98,7,0,1,1,0,0,1,4010,180,4,2,0,0,1,1,0,92,0,0,0,1,0,17,0,0,4,35,160,0,0,1,0,8,0,5,132,731,1,20,3,68,34,114,6,1729,489,424,4,0,10,1,2,17,1,113,81,4,1,3,0,427,129,2,12,121,5
48201210100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,1,0,0,0,2,0,0,19,2,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,160,9,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,1,11,0,0,0,0,1,0,0,12,22,0,0,0,9,0,6,0,23,9,20,0,0,4,0,0,3,0,6,4,0,0,0,0,22,2,0,0,51,0
48201210400,1,24,7,1,0,37,1,1,0,0,25,0,13,0,97,13,0,0,4,258,0,2,3,70,0,0,80,3,0,0,11,0,0,0,0,0,1,13,35,6,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,2,3,11,11,69,0,0,0,0,0,14,0,0,1,3,1,0,0,1,3,1,0,282,175,176,37,1,0,0,5,0,1,7,0,93,0,0,5,245,6,0,24,2,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,18,2,0,0,61,80,20,0,127,0,10,182,1,0,0,3,0,2,21,49,96,0,0,4,19,9,4,2,131,25,77,0,0,56,1,0,11,1,29,23,0,1,0,0,187,36,0,8,89,0
48201210500,0,37,8,1,0,21,0,4,0,0,16,0,2,0,67,8,0,0,3,333,0,3,7,138,0,0,98,3,0,0,2,0,0,0,0,0,3,22,15,5,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,15,10,83,1,0,0,0,0,24,0,0,7,2,9,3,0,0,7,6,0,263,137,130,25,2,5,0,0,0,0,3,3,136,0,0,3,258,2,0,22,3,0,0,2,0,0,2,1,62,1,0,0,0,4,0,1,16,0,4,1,69,115,19,0,182,2,8,226,1,0,0,1,3,0,19,49,155,0,0,5,3,12,11,0,133,14,97,0,1,84,0,1,36,1,35,12,1,1,0,0,192,30,0,4,65,0
48201210600,1,38,3,1,0,9,1,0,0,0,42,0,1,0,139,36,0,0,3,308,0,2,1,134,1,0,67,5,0,0,5,0,0,0,0,0,3,19,18,6,0,0,0,2,4,0,0,1,5,0,0,0,1,0,0,8,4,27,7,105,0,0,0,0,3,43,0,0,4,4,2,0,0,0,4,0,0,264,179,204,34,1,0,0,5,0,1,3,1,84,1,2,9,231,2,0,29,2,0,0,0,0,0,1,1,101,0,0,0,0,0,0,0,27,2,3,0,203,66,23,0,173,0,4,255,0,0,0,8,0,0,38,54,121,0,0,4,22,15,6,0,210,28,85,0,0,44,2,0,14,1,28,20,1,2,0,0,156,26,0,9,107,5
48201210700,0,13,6,0,1,5,0,1,0,0,9,0,0,0,34,11,0,0,1,250,0,2,0,68,0,0,43,4,0,0,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,30,0,0,0,0,0,24,0,0,4,1,3,0,0,1,2,0,0,130,48,79,9,4,0,0,4,0,0,1,4,94,0,1,3,166,2,0,11,2,0,0,0,0,0,1,0,40,0,0,0,0,1,0,0,8,0,3,0,42,67,3,0,112,0,4,110,0,0,0,4,0,0,16,28,120,0,0,2,23,13,2,0,78,16,40,0,0,62,1,0,8,0,27,9,0,1,0,0,86,16,0,1,28,0
48201210800,0,18,1,0,0,15,0,0,0,0,3,1,4,0,53,16,0,0,0,141,0,0,5,76,1,0,41,1,0,0,6,0,0,0,0,0,1,30,33,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,11,45,0,0,0,0,0,26,0,0,0,1,0,0,0,0,7,0,0,174,45,102,1,0,0,0,5,0,0,4,3,69,0,0,1,264,3,0,18,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,24,0,3,0,22,45,14,0,70,0,4,279,0,0,0,1,0,0,7,60,84,0,0,1,20,12,2,1,135,11,50,0,0,118,0,0,5,0,23,11,3,1,0,0,165,23,0,3,65,2
48201210900,0,8,4,0,0,2,0,0,0,0,0,0,3,0,17,3,0,0,0,163,0,7,1,79,0,0,31,2,0,0,1,0,0,0,0,0,0,9,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,0,0,0,0,0,6,0,0,0,0,0,0,0,1,6,0,0,167,66,69,13,1,0,0,3,0,0,0,2,48,0,0,6,129,0,0,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,57,36,5,0,61,0,0,79,0,0,0,10,0,0,18,12,71,0,0,0,20,5,1,0,106,4,27,0,0,63,0,0,6,0,21,5,0,0,0,0,58,15,0,2,50,1
48201211000,1,8,0,0,0,3,0,0,0,0,0,1,0,0,34,1,0,0,2,180,0,4,13,61,0,0,69,2,0,0,4,0,0,0,0,0,2,6,18,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,31,0,0,0,0,1,8,0,0,0,1,0,0,0,0,9,0,0,160,59,68,1,0,0,1,10,0,0,0,0,50,0,2,5,153,1,0,3,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,1,0,44,40,4,0,52,1,7,109,0,0,0,3,0,0,11,11,59,0,0,0,0,3,0,0,2,2,19,0,0,69,0,0,18,2,11,3,1,3,0,0,90,22,0,1,34,0
48201211100,0,24,4,0,0,11,2,2,0,0,6,0,2,0,72,17,0,0,4,360,0,4,14,159,0,0,185,3,0,0,10,0,0,0,0,0,2,19,13,15,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,1,41,171,0,0,1,0,1,39,0,0,12,2,4,3,0,3,35,3,0,398,181,165,1,1,7,0,12,0,0,14,1,134,1,0,4,533,4,0,15,3,0,0,0,0,0,0,0,48,0,1,0,0,3,0,0,23,4,2,0,29,96,12,0,147,1,7,365,1,0,0,9,0,0,30,74,186,0,0,4,12,22,11,3,106,2,148,0,0,279,0,1,31,4,52,19,3,1,0,0,275,44,0,6,87,0
48201211200,1,18,4,0,0,2,0,0,0,0,3,0,2,0,38,4,0,0,3,215,0,10,4,73,0,0,48,0,0,0,22,0,0,0,1,0,0,7,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,49,0,0,0,0,0,18,0,0,3,4,0,0,0,4,11,0,0,248,70,48,6,3,0,0,23,0,0,0,0,77,0,0,1,197,3,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,3,1,0,59,57,14,0,94,1,8,179,0,0,0,3,0,1,35,35,68,0,0,1,0,3,0,1,3,1,25,0,0,97,0,0,10,0,15,5,0,0,0,0,91,27,0,5,83,0
48201211300,0,24,3,1,0,12,1,0,0,1,40,1,6,0,74,12,0,0,3,236,0,1,6,138,0,0,125,4,0,0,8,0,0,0,0,0,2,17,31,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,66,69,0,0,0,0,1,27,0,0,0,5,1,1,0,1,23,1,0,381,102,128,6,2,0,0,35,0,2,3,6,189,0,1,8,335,3,0,57,2,0,0,1,0,0,0,1,75,0,1,0,0,0,0,0,17,2,3,0,24,130,33,0,123,2,9,440,0,0,0,5,0,0,19,45,163,1,0,1,19,6,5,3,109,12,77,0,0,298,1,1,37,1,46,40,3,2,0,0,325,79,1,11,94,0
48201211400,0,5,6,0,0,20,2,0,0,0,9,2,2,0,35,10,0,0,1,177,0,7,0,73,0,0,79,3,0,0,7,0,0,0,0,0,0,25,16,16,0,1,0,1,0,1,0,0,6,0,0,0,0,0,0,2,0,7,17,72,0,0,0,1,1,13,0,0,7,0,7,0,0,0,8,0,0,239,53,131,6,4,18,0,17,0,0,9,5,205,1,0,3,210,1,0,26,1,0,0,0,0,0,0,0,80,0,1,0,1,0,1,1,55,1,8,0,13,160,16,0,144,1,16,176,0,0,0,6,0,0,5,57,137,0,0,3,21,6,14,4,82,13,66,0,1,112,0,0,19,0,19,30,0,0,0,0,215,45,1,8,106,3
48201211500,0,81,17,0,1,22,2,3,0,0,10,0,3,0,70,20,1,0,6,493,0,2,1,177,0,0,162,11,0,0,10,0,1,0,0,0,2,16,97,3,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,10,98,1,0,2,0,1,46,0,0,6,1,9,1,0,0,5,2,0,454,166,80,5,3,13,0,10,0,0,2,0,59,1,1,10,111,7,0,43,4,0,0,0,0,0,1,1,84,1,5,0,1,0,1,0,22,2,1,0,69,41,15,3,178,0,5,219,0,0,1,10,0,1,29,93,118,0,0,2,14,14,6,6,154,7,144,0,0,90,1,0,35,0,22,26,0,0,0,0,283,37,2,6,131,4
48201211600,0,35,6,0,0,4,0,1,0,0,9,0,1,0,24,10,0,0,2,193,1,3,2,69,0,0,101,3,0,0,4,0,0,0,1,0,2,9,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,27,0,0,0,0,0,17,0,0,2,0,0,0,0,0,5,1,0,192,96,36,12,2,1,0,6,0,0,4,0,37,0,0,8,98,0,0,10,1,0,0,0,0,0,0,0,35,0,1,0,0,1,0,0,18,2,1,0,18,33,9,0,95,1,2,159,0,0,0,9,0,0,25,32,67,0,0,2,1,5,2,0,45,3,42,0,1,48,0,0,18,0,33,1,0,1,0,0,127,25,0,4,43,0
48201211700,0,20,4,0,1,3,0,0,0,0,1,0,3,0,43,13,0,0,2,326,0,27,2,120,0,0,140,5,1,0,12,0,0,0,1,0,1,5,15,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,59,0,0,3,2,0,21,0,0,13,6,1,0,0,13,18,0,0,424,124,62,1,2,5,0,37,0,0,3,3,89,0,0,2,179,1,0,10,1,0,0,0,0,0,0,0,34,1,1,0,0,0,0,0,12,2,7,0,109,63,6,0,139,0,6,262,0,0,0,9,0,2,57,65,108,0,0,8,23,11,4,0,114,7,38,2,0,123,0,0,16,1,15,7,0,1,0,0,177,31,0,11,63,1
